id_buku,judul_buku,id_penulis,id_penerbit,id_kategori,ISBN,tahun_terbit,jumlah_halaman,link_buku,deskripsi
E123001,BISNIS Bulletin,PN001,PE001,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,12,https://play.google.com/store/books/details?id=KElYAPJMy88C&source=gbs_api,Deskripsi tidak tersedia
E123002,BISNIS Bulletin,PN001,PE001,C123,ISBN tidak tersedia,6/11/2013,136,https://play.google.com/store/books/details?id=uAVGOPm1MkgC&source=gbs_api,Deskripsi tidak tersedia
E123003,BISNIS Search for Partners,PN002,PE002,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,162,https://play.google.com/store/books/details?id=QVqoSDzIAbkC&source=gbs_api,Created ... to help U.S. companies find business opportunities in the expanding markets of the Newly Independent States (NIS) of the former Soviet Union.
E123004,MODEL BISNIS KEWIRAUSAHAAN,PN002,PE003,C123,9.79E+12,6/27/1905,173,https://play.google.com/store/books/details?id=UH3zEAAAQBAJ&source=gbs_api,"Kewirausahaan tidak hanya melibatkan pembuatan bisnis baru, tetapi juga melibatkan inovasi, peningkatan efisiensi, dan adaptasi terhadap perubahan pasar. Model bisnis yang solid memainkan peran kunci dalam membimbing perusahaan menuju tujuan bisnisnya, serta memberikan pandangan strategis tentang bagaimana perusahaan akan bersaing dan berkembang di pasar yang kompetitif. Penting untuk mencermati perubahan dalam model bisnis kewirausahaan seiring berjalannya waktu. Berbagai faktor seperti perkembangan teknologi, perubahan preferensi konsumen, dan perubahan lingkungan bisnis dapat mempengaruhi cara perusahaan merancang model bisnis."
E123005,BISNIS bulletin,PN002,PE003,C123,ISBN tidak tersedia,Tanggal terbit tidak tersedia,Jumlah halaman tidak tersedia,http://books.google.com/books?id=qCwhzwEACAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123006,Mari Bisnis di Internet dg PaidReview+CD,PN003,PE003,C123,9.79E+12,7/12/2013,204,http://books.google.com/books?id=TwZ_iKdXjV8C&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123007,Great Family Business,PN003,PE003,C123,9.79E+12,5/24/2023,272,https://play.google.com/store/books/details?id=91HAEAAAQBAJ&source=gbs_api,"Tidak semua bisnis keluarga mampu bertahan lintas generasi, kecuali yang dibangun dan dijalankan dengan fondasi kuat. Fondasi itu terutama mencakup nilai-nilai. Tanpa nilai-nilai, bisnis keluarga sulit membangun ciri khas yang diingat oleh pelanggan dan mudah memunculkan konflik internal. Kerukunan, kejujuran, kedisiplinan, pelayanan yang baik, kesantunan, dan profesionalitas sangat penting bagi kesuksesan bisnis keluarga. Great Family Business: Strategi Membangun Nilai Bisnis Keluarga Lintas Generasi membahas tata kelola, strategi, penciptaan nilai, manajemen konflik, dan pencarian peluang untuk memulai bisnis keluarga yang kuat, bermanfaat, dan berkelanjutan. Betapapun, bisnis keluarga dijalankan sebagai upaya untuk menjaga, melestarikan, serta menyebarkan nilai-nilai baik kepada segenap anggota keluarga demi keutuhan dan keberlanjutan keluarga itu sendiri, sekaligus memberikan manfaat yang luas bagi masyarakat. Buku ini mengajak pembaca untuk melihat arti sukses dari sudut pandang yang berbeda dan mencari peluang positif dari berbagai kemungkinan."
E123008,Meretas Sejuta Saudagar: How to Turn a Great Idea into a Reality,PN004,PE004,C123,9.79E+12,6/13/2013,184,https://play.google.com/store/books/details?id=RNlMDwAAQBAJ&source=gbs_api,"""Buku ini termasuk jenis buku kewirausahaan. Tema, bagaimana menciptakan sejta saudagar. Ada empat cara: dari si calon saudagar sendiri harus mempunyai pola pikir positif terhadap dunia ini yang penuh dengan peluang, Kedua, kebijakan pemerintah yang bertpihak pada saudagar, ketiga, bantuan pengucuran kredit dari bank, dan pihak calon sendiri punya inovasi."""
E123009,Corporate Culture - Challenge to Excellence,PN005,PE005,C123,9.79E+12,7/9/2013,272,https://play.google.com/store/books/details?id=DRpbDwAAQBAJ&source=gbs_api,"""`Budaya jika disesuaikan konteks kumpulan tulisan buku ini-budaya perusahaan (corporate culture, CC) -memang merupakan tema besar yang tak akan lekang di makan waktu. Lebih spesifik lagi, jika dikaitkan dengan permasalahan mendasar berbagai organisasi di Indonesia, CC menjadi sebuah dimensi yang tak bisa ditunda dan ditawar lagi urgensi kebutuhannya.` -Herry Tjahjono, Corporate HR Director Agung Sedayu Group, Corporate Culture Therapist, Budayawan Human Resources `Kultur tidak berhubungan dengan apakah karyawan suka atau tidak suka. Kultur juga tidak ada urusan dengan kepuasan karyawan. Pada kenyataannya, kultur adalah bagaimana karyawan melihat, merasakan dan menggambarkan persepsinya tentang perusahaan. Sosok pendiri dan pimpinan perusahaan menjadi sumber kultur yang memengaruhi semua perilaku organisasi.` -Agung Adiprasetyo, CEO Kelompok Kompas Gramedia TOP CORPORATE CULTURE THINKERS - Herris B. Simandjuntak - Agung Adiprasetyo - Herry Tjahjono - Budi W. Soetjipto, Ph.D - Sudhamek AWS - Steve Sudjatmiko - Dr. Djokosantoso Moeljono - Adji Gunawan - Erwin Tenggono - Prof. Dr. Hora Tjitra - John Martoatmodjo, Ph.D - Dr. Ningky Munir, MBA - Riant Nugroho D. - Harianto Mangkusasono - Soegijo Lie - J. Amri Daulay - Ivan Febry Clement - Tommy Sudjarwadi - A.M. Lilik Agung - Tonny Warsono - W. Winardi"""
E123010,Bai bisnis i helpim yumi olsem wanem?,PN005,PE005,C123,9.78E+12,Tanggal terbit tidak tersedia,27,http://books.google.com/books?id=HjtkHQAACAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
E123011,Andalan dalam bisnis Indonesia-Jerman,PN005,PE005,C123,ISBN tidak tersedia,10/16/2022,88,http://books.google.com/books?id=QRUoAAAAMAAJ&dq=Bisnis&hl=&source=gbs_api,Deskripsi tidak tersedia
