id_penerbit;nama_penerbit;tempat_penerbit
PE001;Absolute Media;Informasi tidak tersedia
PE002;Addison-Wesley Professional;Informasi tidak tersedia
PE003;Ahlimedia Book;Informasi tidak tersedia
PE004;Alton Danks;Informasi tidak tersedia
PE005;Amsterdam University Press;Informasi tidak tersedia
PE006;Anak Hebat Indonesia;Informasi tidak tersedia
PE007;Araska Publisher;Informasi tidak tersedia
PE008;Ar-Raniry Press;Informasi tidak tersedia
PE009;Aspen Publishing;Informasi tidak tersedia
PE010;AWI Technology Press;Informasi tidak tersedia
PE011;Bappeda Litbang Kabupaten Banyuasin;Informasi tidak tersedia
PE012;BASABASI;Informasi tidak tersedia
PE013;BASWARA PRESS;Informasi tidak tersedia
PE014;Bhuana Ilmu Populer;Informasi tidak tersedia
PE015;Bibliographical Series;Informasi tidak tersedia
PE016;BPK Gunung Mulia;Informasi tidak tersedia
PE017;Brill;Informasi tidak tersedia
PE018;Buku Edukasi;Informasi tidak tersedia
PE019;Buku&Artikel Karya Iskandar Putong;Informasi tidak tersedia
PE020;Bukunesia;Informasi tidak tersedia
PE021;Bumi Aksara;Informasi tidak tersedia
PE022;Bumi Medika;Informasi tidak tersedia
PE023;Cendikia Mulia Mandiri;Informasi tidak tersedia
PE024;Chamal Hamid;Informasi tidak tersedia
PE025;Createspace Independent Publishing Platform;Informasi tidak tersedia
PE026;CV Jejak (Jejak Publisher);Informasi tidak tersedia
PE027;CV. AZKA PUSTAKA;Informasi tidak tersedia
PE028;CV. Bintang Semesta Media;Informasi tidak tersedia
PE029;CV. DOTPLUS Publisher;Informasi tidak tersedia
PE030;CV. Intelektual Manifes Media;Informasi tidak tersedia
PE031;CV. Pilar Nusantara;Informasi tidak tersedia
PE032;CV. Social Politic Genius (SIGn);Informasi tidak tersedia
PE033;Deepublish;Informasi tidak tersedia
PE034;DigiCat;Informasi tidak tersedia
PE035;Direktorat Jenderal Kebudayaan;Informasi tidak tersedia
PE036;DIVA PRESS;Informasi tidak tersedia
PE037;EDU PUBLISHER;Informasi tidak tersedia
PE038;EGC;Informasi tidak tersedia
PE039;Elex Media Komputindo;Informasi tidak tersedia
PE040;Equinox Publishing;Informasi tidak tersedia
PE041;Erlangga;Informasi tidak tersedia
PE042;European Alliance for Innovation;Informasi tidak tersedia
PE043;Fakultas Kehutanan, Universitas Hasanuddin;Informasi tidak tersedia
PE044;Fakultas Ushuluddin UIN Sunan Gunung Djati Bandung;Informasi tidak tersedia
PE045;Feniks Muda Sejahtera;Informasi tidak tersedia
PE046;Forgotten Books;Informasi tidak tersedia
PE047;Gema Insani;Informasi tidak tersedia
PE048;Gen Mirqat;Informasi tidak tersedia
PE049;Genta Smart Publisher;Informasi tidak tersedia
PE050;Gerakbudaya;Informasi tidak tersedia
PE051;Gilad James Mystery School;Informasi tidak tersedia
PE052;Gramedia Pustaka Utama;Informasi tidak tersedia
PE053;Gramedia Widiasarana Indonesia;Informasi tidak tersedia
PE054;Grasindo;Informasi tidak tersedia
PE055;Greenwood;Informasi tidak tersedia
PE056;GUEPEDIA;Informasi tidak tersedia
PE057;Hendrik  Lim;Informasi tidak tersedia
PE058;Indonesia Emas Group;Informasi tidak tersedia
PE059;Indragiri TM;Informasi tidak tersedia
PE060;Intera;Informasi tidak tersedia
PE061;IRCISOD;Informasi tidak tersedia
PE062;IslamHouse.com;Informasi tidak tersedia
PE063;J.M. Meulenhoff;Informasi tidak tersedia
PE064;Jakad Media Publishing;Informasi tidak tersedia
PE065;Jejak Pustaka;Informasi tidak tersedia
PE066;John Wiley & Sons;Informasi tidak tersedia
PE067;Juneman SPsi;Informasi tidak tersedia
PE068;Kalam Hanan;Informasi tidak tersedia
PE069;Kanisius;Informasi tidak tersedia
PE070;Kencana;Informasi tidak tersedia
PE071;Kepustakaan Populer Gramedia;Informasi tidak tersedia
PE072;K-Media;Informasi tidak tersedia
PE073;Kreatif;Informasi tidak tersedia
PE074;Kubu Buku;Informasi tidak tersedia
PE075;LABIRIN;Informasi tidak tersedia
PE076;Lannoo Meulenhoff - Belgium;Informasi tidak tersedia
PE077;Lembaga Penerbit Kampus IAIN Palopo;Informasi tidak tersedia
PE078;Lentera Hati;Informasi tidak tersedia
PE079;Leonard S. Johnson;Informasi tidak tersedia
PE080;LintasKata;Informasi tidak tersedia
PE081;LKIS PELANGI AKSARA;Informasi tidak tersedia
PE082;London School;Informasi tidak tersedia
PE083;LP2M UIN Sunan Gunung Djati Bandung;Informasi tidak tersedia
PE084;LPPM Universitas KH. A. Wahab Hasbullah;Informasi tidak tersedia
PE085;Lulu.com;Informasi tidak tersedia
PE086;Mafy Media Literasi Indonesia;Informasi tidak tersedia
PE087;Magnum Pustaka;Informasi tidak tersedia
PE088;Mahakarya Citra Utama Group;Informasi tidak tersedia
PE089;Maklu;Informasi tidak tersedia
PE090;Marshall Cavendish Academic;Informasi tidak tersedia
PE091;Mawahib;Informasi tidak tersedia
PE092;Media Nusa Creative (MNC Publishing);Informasi tidak tersedia
PE093;Mengintip Nusantara;Informasi tidak tersedia
PE094;Merdeka Kreasi Group;Informasi tidak tersedia
PE095;Miladil Fitra;Informasi tidak tersedia
PE096;Muhammadiyah University Press;Informasi tidak tersedia
PE097;Nas Media Pustaka;Informasi tidak tersedia
PE098;Nilacakra;Informasi tidak tersedia
PE099;Nusamedia;Informasi tidak tersedia
PE100;Oasis Press;Informasi tidak tersedia
PE101;Olympus;Informasi tidak tersedia
PE102;One-Tap Online Services;Informasi tidak tersedia
PE103;Overamstel Uitgevers;Informasi tidak tersedia
PE104;Oxford University Press, USA;Informasi tidak tersedia
PE105;Pascal Books;Informasi tidak tersedia
PE106;PBMR ANDI;Informasi tidak tersedia
PE107;Pena Kreativa;Informasi tidak tersedia
PE108;Penerbit Adab;Informasi tidak tersedia
PE109;Penerbit Andi;Informasi tidak tersedia
PE110;Penerbit BRIN;Informasi tidak tersedia
PE111;Penerbit Buku Kompas;Informasi tidak tersedia
PE112;Penerbit CV. SARNU UNTUNG;Informasi tidak tersedia
PE113;Penerbit Duta;Informasi tidak tersedia
PE114;Penerbit Insania;Informasi tidak tersedia
PE115;Penerbit K-Media;Informasi tidak tersedia
PE116;Penerbit Narasi;Informasi tidak tersedia
PE117;Penerbit NEM;Informasi tidak tersedia
PE118;Penerbit Peneleh;Informasi tidak tersedia
PE119;Penerbit Pustaka Rumah Cinta;Informasi tidak tersedia
PE120;Penerbit tidak tersedia;Informasi tidak tersedia
PE121;Penerbit Unika Atma Jaya Jakarta;Informasi tidak tersedia
PE122;Perkumpulan Rumah Cemerlang Indonesia;Informasi tidak tersedia
PE123;Pinang;Informasi tidak tersedia
PE124;Pradina Pustaka;Informasi tidak tersedia
PE125;Prasetiya Mulya Publishing ;Informasi tidak tersedia
PE126;Prenada Media;Informasi tidak tersedia
PE127;PT Balai Pustaka (Persero);Informasi tidak tersedia
PE128;PT Grafindo Media Pratama;Informasi tidak tersedia
PE129;PT Kanisius;Informasi tidak tersedia
PE130;PT Sahabat Alter Indonesia;Informasi tidak tersedia
PE131;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE132;PT. RajaGrafindo Persada;Informasi tidak tersedia
PE133;PT. RajaGrafindo Persada - Rajawali Pers;Informasi tidak tersedia
PE134;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE135;Publica Indonesia Utama;Informasi tidak tersedia
PE136;Pusat Penelitian Dan Penerbitan Lembaga Penelitian Dan Pengabdian Kepada Masyarakat;Informasi tidak tersedia
PE137;Pustaka Al-Kautsar;Informasi tidak tersedia
PE138;Pustaka Alvabet;Informasi tidak tersedia
PE139;Pustaka Hudaya;Informasi tidak tersedia
